ksrl_sc_gould_ia_1_2_007,Book,Edition,Part,PlateNumber,Type,BaseFileName,FullFileName,TitleOnPiece,ArtistStatement,NamedArtists,PrinterStatement,Printer,Bird_1_CommonNameOnPiece,Bird_1_GenusOnPiece,Bird_1_SpeciesOnPiece,Bird_1_SpeciesNamers,Bird_1_AltCommonNamesOnPiece,Bird_1_OtherCommonNames,Bird_1_GenusModern,Bird_1_SpeciesModern,Bird_1_OtherGenusSpecies,Bird_1_DateCreated,Medium,Support,Size,SubjectNote,ContentNote,ArtistNote,PublicationNote,PhysicalConditionNote,Bird_2_CommonNamesOnPiece,Bird_2_GenusOnPiece,Bird_2_SpeciesOnPiece,Bird_2_SpeciesNamers,Bird_2_AltCommonNamesOnPiece,Bird_2_OtherCommonNames,Bird_2_GenusModern,Bird_2_SpeciesModern,Bird_2_DateCreated,Bird_2_OtherGenusSpecies,Bird_1_ModernNamer,Bird_1_ModernCommonName,Bird_2_ModernNamer,Bird_2_ModernCommonName,Bird_3_CommonNamesOnPiece,Bird_3_GenusOnPiece,Bird_3_SpeciesOnPiece,Bird_3_SpeciesNamers,Bird_3_AltCommonNamesOnPiece,Bird_3_OtherCommonNames,Bird_3_GenusModern,Bird_3_SpeciesModern,Bird_3_DateCreated,Bird_3_OtherGenusSpecies,Bird_3_ModernNamer,Bird_3_ModernCommonName
130,HB,1st,2,43,pl,ksrl_sc_gould_hb_1_2_043,ksrl_sc_gould_hb_1_2_043.tif,,,,,,,Campylopterus,pampa,,,,Campylopterus,curvipennis,pampa,,,,,,,,,,,,,,,,,,,,"Lesson, 1832",Wedge-tailed Sabrewing,,,,,,,,,,,,,,
133,HB,1st,2,44,pl,ksrl_sc_gould_hb_1_2_044,ksrl_sc_gould_hb_1_2_044.tif,,,,,,,Campylopterus,lazulus,,,,Campylopterus,falcatus,,,,,,,,,,,,,,,,,,,,,"Swainson, 1821",Lazuline Sabrewing,,,,,,,,,,,,,,
139,HB,1st,2,46,pl,ksrl_sc_gould_hb_1_2_046,ksrl_sc_gould_hb_1_2_046.tif,,,,,,,Campylopterus,ensipennis,,,,Campylopterus,ensipennis,,,,,,,,,,,,,,,,,,,,,"Swainson, 1822",White-tailed Sabrewing,,,,,,,,,,,,,,
142,HB,1st,2,47,pl,ksrl_sc_gould_hb_1_2_047,ksrl_sc_gould_hb_1_2_047.tif,,,,,,,Campylopterus,villavicencio,,,,Campylopterus,villaviscensio,,,,,,,,,,,,,,,,,,,,,"Bourcier, 1851",Napo Sabrewing,,,,,,,,,,,,,,
145,HB,1st,2,48,pl,ksrl_sc_gould_hb_1_2_048,ksrl_sc_gould_hb_1_2_048.tif,,,,,,,Campylopterus,latipennis,,,,Campylopterus,largipennis,obscurus,,,,,,,,,,,,,,,,,,,,"Gould, 1848","Gray-breasted Sabrewing, Grey-breasted Sabrewing",,,,,,,,,,,,,,
148,HB,1st,2,49,pl,ksrl_sc_gould_hb_1_2_049,ksrl_sc_gould_hb_1_2_049.tif,,,,,,,Campylopterus,obscurus,,,,Campylopterus,largipennis,,,,,,,,,,,,,,,,,,,,,"Boddaert, 1783","Gray-breasted Sabrewing, Grey-breasted Sabrewing",,,,,,,,,,,,,,
151,HB,1st,2,50,pl,ksrl_sc_gould_hb_1_2_050,ksrl_sc_gould_hb_1_2_050.tif,,,,,,,Campylopterus,rufus,,,,Campylopterus,rufus,,,,,,,,,,,,,,,,,,,,,"Lesson, 1840","Rufous Sabrewing, Fandanguero rojizo",,,,,,,,,,,,,,
154,HB,1st,2,51,pl,ksrl_sc_gould_hb_1_2_051,ksrl_sc_gould_hb_1_2_051.tif,,,,,,,Campylopterus,hyperythrus,,,,Campylopterus,hyperythrus,,,,,,,,,,,,,,,,,,,,,"Cabanis, 1848",Rufous-breasted Sabrewing,,,,,,,,,,,,,,
1085,HB,1S,1,3,pl,ksrl_sc_gould_hb_1s_1_003,ksrl_sc_gould_hb_1s_1_003.tif,,,,,,,Campylopterus,phainopeplus,,,,Campylopterus,phainopeplus,,,,,,,,,,,,,,,,,,,,,"Salvin & Godman, 1879",Santa Marta Sabrewing,,,,,,,,,,,,,,
541,MM,1st,3,51,pl,ksrl_sc_gould_mm_1_3_051,ksrl_sc_gould_mm_1_3_051.tif,,,,,,The dingo,Canis,dingo,,,,Canis,lupus,dingo,,,,,,,,,,,,,,,,,,,,"Meyer, 1793",Domestic dog,,,,,,,,,,,,,,
